Publication,Species,Multiple techniques?
"Adams, J. P. 2005. Home range and behavior of the timber rattlesnake (Crotalus horridus). Marshall University.",Crotalus horridus,
"Nafus, M. G., A. A. Y. Adams, S. M. Boback, S. R. Siers, and R. N. Reed. 2020. Behavior, size, and body condition predict susceptibility to management and reflect post-treatment frequency shifts in an invasive snake. Global Ecology and Conservation 21: e00834.",Boiga irregularis,
"Blais, B. R., S. L. Johnson, and J. L. Koprowski. 2023. Effects of disturbances and environmental changes on an aridland riparian generalist. PeerJ 11: e15563.",Thamnophis cyrtopsis,
"Brown, P. R. 1991. Ecology and vagility of the Grass Snake Natrix natrix helvetica Lacépède. University of Southampton.",Natrix natrix,
"Ciofi, C., and G. Chelazzi. 1991. Radiotracking of Coluber viridiflavus using external transmitters. Journal of Herpetology: 37–40.",Hierophis (Coluber) viridiflavus,
"Cobb, V. A., J. J. Green, T. Worrall, J. Pruett, and B. Glorioso. 2005. Initial den location behavior in a litter of neonate Crotalus horridus (timber rattlesnakes). Southeastern Naturalist 4: 723–730.",Crotalus horridus,
"Maritz, B., and G. J. Alexander. 2012. Dwarfs on the move: spatial ecology of the world’s smallest viper, Bitis schneideri. Copeia 2012: 115–120.",Bitis schneideri,
"Elmberg, J., M. Hagman, K. Löwenborg, G. Pettersson, A. Voisin, and S. Kärvemo. 2019. Movements and habitat choice of resident and translocated adult female Grass Snakes (Natrix natrix) during the egg-laying period. Herpetological Journal 29.",Natrix natrix,
"Emmons, I. D. 2017. Ecology of Federally Threatened Northern Mexican Gartersnakes in North-Central Arizona.",Thamnophis eques,
"Ernst, R. 2004. Lethbridge rattlesnake conservation project: 2003 progress report.",Crotalus viridis,
"Feuka, A. B., M. G. Nafus, A. A. Yackel Adams, L. L. Bailey, and M. B. Hooten. 2022. Individual heterogeneity influences the effects of translocation on urban dispersal of an invasive reptile. Movement Ecology 10: 2.",Boiga irregularis,
"Figueroa, A. 2006. Radiotelemetry and behavioral ecology of neonate Southern Pacific Rattlesnakes.",Crotalus helleri,Y
"Fiorillo, B. F., A. M. Tozetti, and M. Martins. 2020. Habitat use by five species of sympatric pitvipers (Bothrops, Crotalus) in a Brazilian savannah. Herpetology Notes 13: 951–960.","Bothrops alternatus, B. paoloensis, Crotalus durissus",
"Fujishima, K., T. Kodama, Y. Kojima, M. Y. Hossman, and K. Nishikawa. 2021. Short-term movements of Boiga nigriceps (Günther, 1863), with notes on its diet (Squamata: Colubridae). Herpetology Notes 14: 83–89.",Boiga nigriceps,
"Gallagher, G. R., M. Weisser, D. Smith, and D. Creamer. 2017. A Field Evaluation of the Efficacy of Milorganite as a Repellent for Non-Venomous Rat Snakes (Elaphe obsoleta).",Pantherophis (Elaphe) obsoletus,
"Gaywood, M. J. 1990. Comparative thermal ecology of the British snakes. University of Southampton.","Coronella austriaca, Natrix natrix, Vipera berus",
"Gent, A., and I. Spellerberg. 1993. Movement rates of the smooth snake Coronella austriaca (Colubridae) A radio telemetric study. Herpetological Journal 3: 140–146.",Coronella austriaca,
"Gerke, H. C., T. G. Hinton, and J. C. Beasley. 2021. Movement behavior and habitat selection of rat snakes (Elaphe spp.) in the Fukushima Exclusion Zone. Ichthyology & Herpetology 109: 545–556.","Elaphe climacophora, E. quadrivirgata",
"Hand, N. 2019. The secret life of the adder (Vipera berus) revealed through telemetry. Edited by: Christopher. J. McInerny & Iain Wilkie 27: 13.",Vipera berus,
"Howarth, C. R., C. A. Bishop, and K. W. Larsen. 2023. Western Rattlesnake (Crotalus oreganus) spring migration in British Columbia: A comparative study of juveniles and adults. Canadian Journal of Zoology.",Crotalus oreganus,
"Hudson, S. 2019. A multi-faceted approach to evaluating the detection probability of an elusive snake (Sistrurus catenatus). Trent University.",Sistrurus catenatus,
"Imlay, T. L. 2009. Examining Spatial Ecology at Multiple Scales: Implications for Eastern Ribbonsnake (Thamnophis Sauritius) Recovery in Nova Scotia Aceae.",Thamnophis saurita,Y
"Jackson, S. B. 2013. Home range size and habitat use of the Eastern Indigo Snake (Drymarchon couperi) at a disturbed agricultural site in south Florida.",Drymarchon couperi,
"Jellen, B. C., and M. J. Kowalski. 2007. Movement and growth of neonate eastern massasaugas (Sistrurus catenatus). Copeia 2007: 994–1000.",Sistrurus catenatus,
"Jungen, M. T., Z. Ross, J. Cooley, M. D. Martin, J. Holloway, S. M. Welch, and J. L. Waldron. 2019. Monitoring eastern diamondback rattlesnakes using a novel external radio-transmitter attachment method. Copeia 107: 411–416.",Crotalus horridus,
"Lentini, A., C. Keeper–Amphibians, and R. J. Phillips. 2014. Eastern Milksnake Monitoring in Rouge Park: 2014 Report.",Lampropeltis triangulum,
"Lonsdale, G. 2022. Snake Community Ecology And Conservation In Cusuco National Park, Honduras. University of Plymouth.","Bothriechis marchi, Atropoides mexicanus, Cerrophidion wilsoni",Y
"Madrid-Sotelo, C.-A., and A. García-Aguayo. 2008. A simple method for externally attaching radio-transmitters to snakes. North-Western Journal of Zoology 4: 335–338.",Oxybelis aeneus,
"Murphy, C. M., L. L. Smith, J. J. O’Brien, and S. B. Castleberry. 2021. Overwintering habitat selection of the eastern diamondback rattlesnake (Crotalus adamanteus) in the Longleaf Pine ecosystem. Herpetol Conserv Biol 16: 203–210.",Crotalus adamanteus,
"Muscat, E., R. Mitsuo, R. Menegucci, T. Moroti, M. Pedrozo, E. Rotenberg, and I. Sazima. 2021. Natural history of the large pit viper Bothrops jararacussu: habitat use, movement patterns, and home range. Herpetol Conserv Biol 16: 313–324.",Bothrops jararacussu,
"Nash, D. J., and R. A. Griffiths. 2018. Ranging behaviour of adders (Vipera berus) translocated from a development site. Herpetological Journal 28: 155–159.",Vipera berus,
"Park, I.-K., H. Jeong, and D. Park. 2022. A field evaluation of two external transmitter attachment methods for small snakes. Journal of Ecology and Environment 46.",Orientocoluber spinalis,
"Pettersson, G. 2014. Movement pattern and habitat use of female grass snake (Natrix natrix) in a semi-urban environment. Swedish University of Agricultural Sciences.",Natrix natrix,
"Riley, J. L., J. H. Baxter?Gilbert, and J. D. Litzgus. 2017. A comparison of three external transmitter attachment methods for snakes. Wildlife Society Bulletin 41: 132–139.",Sistrurus catenatus,Y
"Robinson, C. J., M. C. Viernes, R. N. Reed, A. A. Yackel Adams, and M. G. Nafus. 2018. Assessment of two external transmitter attachment methods for Boiga irregularis (Brown Treesnakes). 49: 32-34.",Boiga irregularis,Y
"Sacerdote?Velat, A., J. Earnhardt, D. Mulkerin, D. Boehm, and G. Glowacki. 2014. Evaluation of headstarting and release techniques for population augmentation and reintroduction of the smooth green snake. Animal Conservation 17: 65–73.",Opheodrys vernalis,
"Smith, D., M. Weisser, D. Creamer, R. J. Mclarty, and G. R. Gallagher. 2017. Field Evaluation of Two External Attachment Location of Radio Transmitters on Non-Venomous Rat Snakes (Elaphe obsoleta).",Pantherophis (Elaphe) obsoletus,Y
"Sprague, T. A. 2017. Microhabitat and Movement Assessment for Northern Mexican Gartersnakes (Thamnophis eques megalops) at Bubbling Ponds Hatchery, Arizona. Arizona State University.",Thamnophis eques megalops,
"Thompson, M. L. 2023. Toward accelerometer recording of pit viper foraging behavior in nature: validation and case study with timber rattlesnakes (Crotalus horridus).",Crotalus horridus,
"Tozetti, A. M., and M. Martins. 2007. A technique for external radio-transmitter attachment and the use of thread-bobbins for studying snake movements. South American Journal of Herpetology 2: 184–190.",Crotalus durissus,
"Tozetti, A. M., and M. Martins. 2013. Daily and seasonal activity patterns of free range South-American rattlesnake (Crotalus durissus). Anais da Academia Brasileira de Ciências 85: 1047–1052.",Crotalus durissus,
"Wolfe, A. K., P. A. Fleming, and P. W. Bateman. 2018. Impacts of translocation on a large urban-adapted venomous snake. Wildlife Research 45: 316–324.",Pseudonaja affinis,
"Wylie, G., J. Smith, M. Amarello, and M. Cassazza. 2011. A taping method for external transmitter attachment on aquatic snakes. Herpetological Review 42: 187.",Thamnophis gigas,Y
"Zdenek, C. N., C. J. Hay, and D. R. Michael. 2021. Recommendations for using the subdermal stitch method to attach external transmitters on snakes. Herpetological Conservation and Biology 16: 374–385.",Acanthophis antarcticus,
