authors,type,title,study_year,family,genus,species,TRX_mass_as_reported,mean_snake_mass_as_reported,snake_mass_external_sources,combined_mass_data,mean_snake_SVL_as_reported,snake_SVL_external_sources,combined_SVL_data,TRX_ratio_as_reported,TRX_ratio_derived,combined_TRX_ratio,sample_size,radio,GPS,glue_only,tape_only,glue_and_tape,subdermal_stitch,anterior_third_placement,posterior_third_placement,tail_placement,rattle_placement,dorsal_placement,ventral_placement,effects_specified,adverse_effects,injuries,behavioral_effects,lethal_effects,adverse_effects_notes,avg_number_fixes,duration_mean,duration_SD,duration_range_lower,duration_range_upper
Adams,Thesis,Home range and behavior of the Timber Rattlesnake (Crotalus horridus),2005,Viperidae,Crotalus,horridus,10,,926.6666667,926.6666667,,99.2,99.2,,,0.010791367,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,None reported,23.4,,,,
Blais et al.,Paper,Effects of disturbances and environmental changes on an aridland riparian generalist,2023,Colubridae,Thamnophis,cyrtopsis,2.2,58.4,,58.4,50.2,,50.2,,0.037671233,0.037671233,6,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,Observed  instances of sand getting caught in the tape’s leading edge. One snake repeatedly got tangled in dense and exposed vegetation roots at an eroded streambank immediately after tape attachment and another appeared stuck trying to maneuver around a semi-collapsed burrow; we removed the transmitter in both instances.,,20,17.8,5,54
Brown,Thesis,"Ecology and vagility of the grass snake, Natrix natrix",1991,Colubridae,Natrix,natrix,,,69.85,69.85,,60,60,,,,12,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,Minor skin abrasion; antenna wire entangled in vegetation,,21.16666667,14.3579774,,
Bryan Maritz,Paper,"Dwarfs on the Move: Spatial Ecology of the World's Smallest Viper, Bitis schneideri",2012,Viperidae,Bitis,schneideri,,,,,,20,20,,,,37,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,19.01833333,3.228333333,,
Ciofi and Chelazzi,Paper,Radio tracking of Coluber viridiflavus using external transmitters,1991,Colubridae,Coluber,viridiflavus,2.5,277,,277,83,,83,0.9 to 1%,0.009025271,0.009025271,11,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,None reported,,,,,
Cobb et al.,Paper,Initial Den Location Behavior in a Litter of Neonate Crotalus horridus (Timber Rattlesnakes),2005,Viperidae,Crotalus,horridus,1.65,26.5,,26.5,,29.7,29.7,5.8 to 6.8%,0.062264151,0.062264151,4,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,None reported,,40.25,1.5,39,42
Elmberg et al. ,Paper,Movements and habitat choice of resident and translocated adult female Grass Snakes (Natrix natrix) during the egg-laying period,2019,Colubridae,Natrix,natrix,4,186,,186,,60,60,1.0 to 6.1%,0.021505376,0.021505376,12,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,None reported,17.75,23.25,3.816828765,16,29
Emmons,Thesis,Ecology of Federally Threatened Northern Mexican Gartersnakes in North-Central Arizona,2017,Colubridae,Thamnophis,eques,1.2,52,,52,51,,51,2.3,0.023076923,0.023076923,16,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,11.5,52.8125,26.79855407,,
Ernst,Report,Lethbridge rattlesnake conservation project: 2003 progress report,2004,Viperidae,Crotalus,viridus,,,253,253,,72,72,,,,2,1,0,1,0,0,0,0,0,1,1,,,0,0,0,0,0,None reported,,12,20,1,45
Ferreto Fiorillo et al.,Paper,"Habitat use by five species of sympatric pitvipers (Bothrops, Crotalus) in a Brazilian savannah",2020,Viperidae,Bothrops,pauloensis,,,,,60,,60,,,,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,10,31.5,37.4766594,5,58
Ferreto Fiorillo et al.,Paper,"Habitat use by five species of sympatric pitvipers (Bothrops, Crotalus) in a Brazilian savannah",2020,Viperidae,Bothrops,alternatus,,,,,100,,100,,,,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,5.5,19.5,12.02081528,11,28
Ferreto Fiorillo et al.,Paper,"Habitat use by five species of sympatric pitvipers (Bothrops, Crotalus) in a Brazilian savannah",2020,Viperidae,Crotalus,durissus,,,1497,1497,90,,90,,,,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,4,33,,33,33
Feuka,Paper,Individual heterogeneity influences the effects of translocation on urban dispersal of an invasive reptile,2022,Colubridae,Boiga ,irregularis,1.5,,361,361,85,,85,,,0.004155125,84,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,None reported,37.9,,,,
Figueroa,Thesis,Radiotelemetry and Behavioral Ecology of Neonate Southern Pacific Rattlesnakes,2006,Viperidae,Crotalus,oreganus,1.75,21.5,,21.5,30.5,,30.5,0.081,0.081395349,0.081395349,7,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,Removal of scales when removing transmitters,22,21.75,9.844626284,14,33
Fujushima,Paper,"Short-term movements of Boiga nigriceps (Günther, 1863), with notes on its diet (Squamata: Colubridae)",2021,Colubridae,Boiga ,nigriceps,0.35,36.5,,36.5,78,,78,0.009,0.009589041,0.009589041,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,None reported,11.5,8,7.1,3,13
Gallagher et al.,Paper,A Field Evaluation of the Efficacy of Milorganite as a Repellent for Non-Venomous Rat Snakes (Elaphe obsolete),2017,Colubridae,Elaphe,obsoleta,,,,,116,,116,,,,11,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,12.3,4.7,1,21
Gent and Spellerberg,Paper,Movement rates of the smooth snake Coronella austriaca (Colubridae) A radio telemetric study,1993,Colubridae,Coronella ,austriaca,2.5,,60,60,,54,54,,,,39,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,On seven occasions the transmitter was removed from the animal when it was found to be snagged on vegetation or below ground. the physical bulk of the transmitters did occasionally impede movement of animals particularly when they were travelling through vegetation or moving below ground.,,,,,
Gerke et al.,Paper,Movement behavior and habitat selecton of rat snakes in the Fukishima Exclusion Zone,2021,Colubridae,Elaphe,spp.,4,,,,,,,< 5%,,,9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,19,,10,28
Gerke et al.,Paper,Movement behavior and habitat selecton of rat snakes in the Fukishima Exclusion Zone,2021,Colubridae,Elaphe,spp.,1,,,,,,,< 5%,,,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,19,,10,28
Hand,Paper,The secret life of the adder (Vipera berus) revealed through telemetry,2019,Viperidae,Vipera,berus,,,95,95,,48.4,48.4,,,,75,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,None reported,,49,,,
Howarth et al.,Paper,Western Rattlesnake (Crotalus oreganus) spring migration in British Columbia: a comparative study of juveniles and adults,2023,Viperidae,Crotalus,oreganus,1,222.8,,222.8,68.2,,68.2,,0.00448833,0.00448833,21,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,None reported,,72,30,19,140
Hudson,Thesis,A multi-faceted approach to evaluating the detection probability of an elusive snake (Sistrurus catenatus),2019,Viperidae,Sistrurus,catenatus,1.9,,265,265,,61.7,61.7,,,0.007169811,6,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,None reported,,,,,
Imlay,Thesis,Examining spatial ecology at multiple scales: implications for Eastern ribbonsnake (Thamnophis sauritus) recovery in Nova Scotia,2009,Colubridae,Thamnophis,sauritus,0.47,,28.7,28.7,,41.5,41.5,,,0.016376307,5,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,"No injury, but impaired snake's ability to move through dense vegetation.",,1,1.34,,
Imlay,Thesis,Examining spatial ecology at multiple scales: implications for Eastern ribbonsnake (Thamnophis sauritus) recovery in Nova Scotia,2009,Colubridae,Thamnophis,sauritus,1.9,,28.7,28.7,,41.5,41.5,0.063,0.063,0.066202091,15,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,Removed dorsal scales when detached. Impaired snake's ability to move through dense vegetation.,,1,,,
